Country,ACI_Total,GDP_per_capita,Unemployment_total,Literacy_total,WHI,Life_expectancy,Depression_rate
Angola,6.94,2524.94,7.42,66.00,3.80,61.00,3.60
Albania,7.17,5287.66,12.30,98.10,4.59,79.00,4.80
Argentina,9.65,11795.16,9.22,99.00,6.39,77.00,4.70
Armenia,5.55,4220.54,18.97,99.80,4.32,75.00,5.00
Australia,10.51,57180.78,5.30,99.00,7.27,83.00,6.20
Austria,11.96,51486.58,4.85,98.00,7.14,81.00,6.30
Burundi,7.19,238.03,1.59,68.40,2.91,62.00,4.20
Belgium,11.08,47549.21,5.95,99.00,6.93,81.00,6.20
Benin,2.81,1241.83,1.47,42.40,4.14,62.00,3.90
Burkina Faso,12.03,804.50,4.69,39.30,4.42,62.00,3.60
Bulgaria,12.65,9446.70,5.41,98.40,4.93,74.00,7.20
Bosnia and Herzegovina,7.15,6070.35,18.40,97.00,5.13,78.00,5.10
Belarus,11.45,6360.06,4.76,99.90,5.23,74.00,7.40
Belize,6.22,4927.19,6.64,76.90,5.96,75.00,4.40
Bolivia,4.43,3548.59,3.52,92.50,5.75,72.00,4.40
Brazil,7.42,9151.38,12.33,93.20,6.42,76.00,5.80
Bhutan,0.43,3243.48,2.44,66.60,5.08,72.00,4.20
Botswana,6.59,7503.88,22.07,86.80,3.59,70.00,4.70
Central African Republic,2.38,475.95,5.61,37.40,3.08,54.00,4.20
Canada,8.94,46548.64,5.83,99.00,7.33,82.00,4.70
Switzerland,11.53,86388.40,4.71,99.00,7.49,83.00,5.20
Chile,9.07,15772.33,7.23,96.40,6.48,80.00,5.00
China,7.05,9905.34,4.28,99.83,5.25,77.00,4.20
Cameroon,5.65,1585.24,3.62,77.10,4.98,60.00,3.90
"Congo, Dem. Rep.",2.00,565.83,4.45,77.00,4.25,61.00,3.80
Colombia,5.74,6729.58,9.11,95.60,6.26,77.00,4.70
Costa Rica,4.87,12485.42,9.63,97.90,7.07,80.00,4.70
Cyprus,10.81,29334.11,10.37,98.70,5.76,81.00,6.10
Czech Republic,14.45,23419.74,2.24,99.83,6.71,78.00,7.10
Germany,12.91,47973.61,3.38,99.00,6.97,81.00,6.10
Denmark,10.26,61591.93,5.13,99.00,7.56,82.00,5.20
